iter	Passed	Remaining
179	452	2062
180	454	2056
181	456	2049
182	457	2043
183	459	2036
184	460	2030
185	462	2023
186	464	2017
187	465	2011
188	467	2005
189	469	2000
190	470	1994
191	472	1988
192	474	1983
193	476	1977
194	477	1972
195	479	1966
196	481	1960
197	482	1955
198	484	1949
199	486	1944
200	487	1938
201	489	1932
202	490	1927
203	492	1921
204	494	1915
205	495	1910
206	497	1905
207	498	1899
208	500	1894
209	502	1888
210	503	1883
211	505	1878
212	506	1872
213	508	1867
214	510	1862
215	512	1858
216	513	1853
217	515	1848
218	516	1843
219	518	1838
220	520	1833
221	521	1828
222	523	1823
223	525	1818
224	526	1814
225	528	1809
226	529	1804
227	531	1799
228	533	1795
229	534	1790
230	536	1785
231	537	1780
232	539	1776
233	541	1771
234	542	1767
235	544	1762
236	546	1758
237	547	1753
238	549	1749
239	550	1744
240	552	1740
241	554	1736
242	555	1731
243	557	1727
244	559	1722
245	560	1718
246	562	1714
247	563	1709
248	565	1705
249	567	1701
250	568	1697
251	570	1692
252	572	1688
253	573	1684
254	575	1680
255	577	1677
256	578	1673
257	580	1668
258	581	1665
259	583	1661
260	585	1657
261	587	1653
262	588	1649
263	590	1645
264	592	1642
265	593	1638
266	595	1634
267	597	1630
268	598	1627
269	600	1623
270	602	1619
271	603	1615
272	605	1612
273	607	1608
274	608	1605
275	610	1601
276	612	1597
277	613	1593
278	615	1590
279	617	1587
280	619	1584
281	621	1581
282	622	1578
283	624	1575
284	626	1572
285	628	1568
286	630	1565
287	631	1562
288	633	1559
289	635	1556
290	637	1553
291	639	1549
292	640	1546
293	642	1543
294	644	1539
295	646	1536
296	648	1533
297	649	1530
298	651	1526
299	652	1523
300	654	1520
301	656	1516
302	657	1513
303	659	1510
304	661	1507
305	663	1504
306	665	1503
307	668	1502
308	670	1499
309	673	1498
310	676	1498
311	678	1496
312	681	1495
313	684	1495
314	687	1493
315	689	1492
316	693	1493
317	695	1492
318	698	1490
319	700	1489
320	702	1486
321	705	1484
322	707	1483
323	710	1481
324	712	1480
325	714	1477
326	716	1475
327	718	1472
328	720	1469
329	722	1467
330	724	1465
331	727	1463
332	729	1460
333	731	1458
334	733	1455
335	735	1453
336	737	1451
337	740	1449
338	742	1447
339	744	1444
340	746	1441
341	747	1438
342	749	1435
343	751	1432
344	753	1430
345	755	1427
346	757	1425
347	759	1422
348	760	1419
349	762	1416
350	764	1413
351	765	1409
352	768	1408
353	770	1405
354	772	1403
355	774	1400
356	775	1397
357	777	1394
358	779	1391
359	780	1388
360	783	1386
361	785	1384
362	787	1381
363	789	1379
364	791	1376
365	793	1373
366	794	1370
367	796	1367
368	798	1365
369	800	1363
370	802	1361
371	805	1358
372	806	1356
373	808	1353
374	809	1349
375	812	1347
376	813	1344
377	816	1342
378	818	1340
379	820	1338
380	822	1335
381	823	1332
382	825	1330
383	827	1327
384	829	1324
385	831	1322
386	833	1320
387	835	1318
388	837	1315
389	839	1312
390	841	1310
391	842	1307
392	844	1304
393	847	1302
394	849	1300
395	851	1298
396	853	1295
397	854	1292
398	856	1290
399	858	1287
400	860	1285
401	862	1283
402	864	1280
403	866	1278
404	868	1275
405	870	1273
406	872	1270
407	873	1267
408	875	1264
409	877	1262
410	879	1260
411	881	1257
412	883	1255
413	884	1252
414	886	1250
415	888	1247
416	890	1245
417	892	1242
418	895	1241
419	897	1238
420	898	1236
421	900	1233
422	902	1230
423	904	1228
424	906	1226
425	908	1223
426	910	1221
427	912	1219
428	913	1216
429	915	1213
430	917	1210
431	918	1208
432	920	1205
433	922	1202
434	923	1199
435	925	1197
436	927	1194
437	929	1192
438	930	1189
439	932	1186
440	933	1183
441	935	1181
442	937	1178
443	938	1175
444	940	1172
445	942	1170
446	943	1167
447	945	1165
448	947	1162
449	949	1159
450	950	1157
451	952	1154
452	953	1151
453	955	1149
454	957	1146
455	959	1144
456	960	1141
457	962	1138
458	964	1136
459	965	1133
460	967	1131
461	968	1128
462	970	1125
463	972	1123
464	974	1120
465	975	1118
466	977	1115
467	979	1112
468	980	1110
469	982	1107
470	983	1105
471	985	1102
472	987	1099
473	988	1097
474	990	1094
475	992	1092
476	993	1089
477	995	1087
478	997	1084
479	998	1082
480	1000	1079
481	1002	1076
482	1003	1074
483	1005	1072
484	1007	1069
485	1008	1067
486	1010	1064
487	1012	1061
488	1013	1059
489	1015	1056
490	1017	1054
491	1018	1051
492	1020	1049
493	1022	1046
494	1023	1044
495	1025	1041
496	1026	1039
497	1028	1036
498	1030	1034
499	1031	1031
500	1033	1029
501	1035	1026
502	1036	1024
503	1038	1022
504	1040	1019
505	1042	1017
506	1043	1014
507	1045	1012
508	1046	1009
509	1048	1007
510	1050	1004
511	1051	1002
512	1053	1000
513	1055	997
514	1057	995
515	1058	993
516	1060	990
517	1061	988
518	1063	985
519	1065	983
520	1066	980
521	1068	978
522	1070	976
523	1071	973
524	1073	971
525	1075	968
526	1076	966
527	1078	963
528	1080	961
529	1081	959
530	1083	956
531	1084	954
532	1086	952
533	1088	949
534	1089	947
535	1091	944
536	1093	942
537	1094	940
538	1096	937
539	1098	935
540	1099	933
541	1101	930
542	1103	928
543	1105	926
544	1106	924
545	1108	921
546	1110	919
547	1112	917
548	1113	914
549	1115	912
550	1117	910
551	1119	908
552	1120	905
553	1122	903
554	1124	901
555	1125	898
556	1127	896
557	1128	894
558	1130	891
559	1132	889
560	1133	887
561	1135	885
562	1137	882
563	1138	880
564	1140	878
565	1142	875
566	1143	873
567	1145	871
568	1147	868
569	1148	866
570	1150	864
571	1152	862
572	1153	859
573	1155	857
574	1157	855
575	1158	853
576	1160	850
577	1162	848
578	1163	846
579	1165	843
580	1167	841
581	1168	839
582	1170	837
583	1172	834
584	1173	832
585	1175	830
586	1177	828
587	1178	825
588	1180	823
589	1182	821
590	1183	819
591	1185	817
592	1187	814
593	1188	812
594	1190	810
595	1192	808
596	1193	805
597	1195	803
598	1197	801
599	1198	799
600	1200	797
601	1202	794
602	1204	792
603	1205	790
604	1207	788
605	1208	785
606	1210	783
607	1212	781
608	1213	779
609	1215	777
610	1217	774
611	1219	772
612	1220	770
613	1222	768
614	1224	766
615	1225	764
616	1227	761
617	1229	759
618	1230	757
619	1232	755
620	1234	753
621	1235	751
622	1237	748
623	1239	746
624	1240	744
625	1242	742
626	1244	740
627	1245	737
628	1247	735
629	1249	733
630	1251	731
631	1253	729
632	1254	727
633	1256	725
634	1258	723
635	1259	720
636	1261	718
637	1263	716
638	1265	714
639	1266	712
640	1268	710
641	1270	708
642	1271	706
643	1273	703
644	1275	701
645	1276	699
646	1278	697
647	1280	695
648	1282	693
649	1283	691
650	1285	689
651	1287	687
652	1289	685
653	1290	682
654	1292	680
655	1294	678
656	1296	676
657	1297	674
658	1299	672
659	1301	670
660	1302	668
661	1304	665
662	1306	663
663	1307	661
664	1309	659
665	1311	657
666	1313	655
667	1314	653
668	1316	651
669	1318	649
670	1320	647
671	1321	645
672	1323	643
673	1325	640
674	1327	638
675	1328	636
676	1330	634
677	1332	632
678	1333	630
679	1335	628
680	1337	626
681	1339	624
682	1340	622
683	1342	620
684	1344	618
685	1345	616
686	1347	613
687	1349	611
688	1350	609
689	1352	607
690	1354	605
691	1356	603
692	1357	601
693	1359	599
694	1361	597
695	1363	595
696	1364	593
697	1366	591
698	1367	589
699	1369	587
700	1371	584
701	1373	582
702	1374	580
703	1376	578
704	1378	576
705	1380	574
706	1381	572
707	1383	570
708	1385	568
709	1386	566
710	1388	564
711	1390	562
712	1392	560
713	1393	558
714	1395	556
715	1397	554
716	1398	552
717	1400	550
718	1402	548
719	1403	545
720	1405	543
721	1407	542
722	1409	540
723	1411	537
724	1412	535
725	1414	533
726	1416	531
727	1417	529
728	1419	527
729	1421	525
730	1423	523
731	1424	521
732	1426	519
733	1428	517
734	1429	515
735	1431	513
736	1433	511
737	1434	509
738	1436	507
739	1438	505
740	1440	503
741	1441	501
742	1443	499
743	1445	497
744	1447	495
745	1448	493
746	1450	491
747	1452	489
748	1453	487
749	1455	485
750	1457	483
751	1459	481
752	1460	479
753	1462	477
754	1464	475
755	1465	473
756	1467	471
757	1469	469
758	1471	467
759	1472	465
760	1474	463
761	1476	461
762	1477	459
763	1479	456
764	1481	454
765	1482	452
766	1484	450
767	1486	448
768	1487	446
769	1489	445
770	1491	443
771	1493	440
772	1494	438
773	1496	436
774	1498	434
775	1499	432
776	1501	430
777	1503	428
778	1505	427
779	1506	425
780	1508	423
781	1510	421
782	1512	419
783	1514	417
784	1515	415
785	1517	413
786	1519	411
787	1521	409
788	1522	407
789	1524	405
790	1526	403
791	1527	401
792	1529	399
793	1531	397
794	1532	395
795	1534	393
796	1536	391
797	1538	389
798	1539	387
799	1541	385
800	1543	383
801	1545	381
802	1546	379
803	1548	377
804	1550	375
805	1552	373
806	1553	371
807	1555	369
808	1557	367
809	1558	365
810	1560	363
811	1562	361
812	1563	359
813	1565	357
814	1567	355
815	1569	353
816	1570	351
817	1572	349
818	1574	347
819	1575	345
820	1577	343
821	1579	341
822	1580	340
823	1582	338
824	1584	336
825	1586	334
826	1587	332
827	1589	330
828	1591	328
829	1593	326
830	1595	324
831	1596	322
832	1598	320
833	1600	318
834	1601	316
835	1603	314
836	1605	312
837	1606	310
838	1608	308
839	1610	306
840	1612	304
841	1613	302
842	1615	300
843	1617	298
844	1619	297
845	1620	295
846	1622	293
847	1624	291
848	1626	289
849	1628	287
850	1629	285
851	1631	283
852	1633	281
853	1635	279
854	1636	277
855	1638	275
856	1640	273
857	1641	271
858	1643	269
859	1645	267
860	1646	265
861	1648	263
862	1650	262
863	1652	260
864	1653	258
865	1655	256
866	1657	254
867	1658	252
868	1660	250
869	1661	248
870	1663	246
871	1665	244
872	1667	242
873	1668	240
874	1670	238
875	1672	236
876	1673	234
877	1675	232
878	1676	230
879	1678	228
880	1680	226
881	1682	225
882	1683	223
883	1685	221
884	1687	219
885	1688	217
886	1690	215
887	1692	213
888	1693	211
889	1695	209
890	1697	207
891	1699	205
892	1700	203
893	1702	201
894	1703	199
895	1705	197
896	1707	196
897	1708	194
898	1710	192
899	1712	190
900	1713	188
901	1715	186
902	1717	184
903	1718	182
904	1720	180
905	1722	178
906	1723	176
907	1725	174
908	1727	172
909	1729	171
910	1730	169
911	1732	167
912	1734	165
913	1735	163
914	1737	161
915	1739	159
916	1740	157
917	1742	155
918	1744	153
919	1745	151
920	1747	149
921	1748	147
922	1750	146
923	1752	144
924	1753	142
925	1755	140
926	1757	138
927	1758	136
928	1760	134
929	1762	132
930	1763	130
931	1765	128
932	1767	126
933	1768	124
934	1770	123
935	1772	121
936	1773	119
937	1775	117
938	1777	115
939	1778	113
940	1780	111
941	1782	109
942	1783	107
943	1785	105
944	1787	104
945	1788	102
946	1790	100
947	1792	98
948	1794	96
949	1795	94
950	1797	92
951	1799	90
952	1801	88
953	1802	86
954	1804	85
955	1806	83
956	1808	81
957	1809	79
958	1811	77
959	1813	75
960	1814	73
961	1816	71
962	1818	69
963	1820	67
964	1821	66
965	1823	64
966	1825	62
967	1826	60
968	1828	58
969	1830	56
970	1831	54
971	1833	52
972	1835	50
973	1837	49
974	1838	47
975	1840	45
976	1842	43
977	1844	41
978	1845	39
979	1847	37
980	1849	35
981	1850	33
982	1852	32
983	1854	30
984	1855	28
985	1857	26
986	1859	24
987	1860	22
988	1862	20
989	1864	18
990	1866	16
991	1867	15
992	1869	13
993	1871	11
994	1873	9
995	1874	7
996	1876	5
997	1878	3
998	1879	1
999	1881	0
