iter	Passed	Remaining
224	6873	23675
225	6903	23642
226	6933	23610
227	6964	23581
228	6995	23552
229	7025	23519
230	7055	23488
231	7085	23455
232	7115	23423
233	7145	23389
234	7176	23360
235	7209	23339
236	7240	23309
237	7272	23283
238	7300	23246
239	7329	23210
240	7358	23173
241	7388	23141
242	7419	23114
243	7449	23080
244	7480	23050
245	7510	23019
246	7540	22986
247	7571	22958
248	7600	22924
249	7630	22892
250	7660	22859
251	7690	22826
252	7719	22791
253	7749	22759
254	7779	22727
255	7809	22695
256	7838	22662
257	7870	22634
258	7899	22599
259	7927	22562
260	7957	22530
261	7989	22503
262	8019	22472
263	8048	22439
264	8079	22407
265	8107	22373
266	8137	22340
267	8167	22307
268	8197	22275
269	8226	22240
270	8254	22204
271	8285	22174
272	8315	22143
273	8344	22109
274	8374	22078
275	8404	22045
276	8439	22028
277	8479	22021
278	8515	22005
279	8552	21992
280	8585	21968
281	8614	21934
282	8643	21897
283	8672	21863
284	8701	21829
285	8730	21794
286	8759	21762
287	8787	21724
288	8818	21695
289	8846	21658
290	8875	21624
291	8906	21595
292	8936	21564
293	8966	21532
294	8996	21500
295	9027	21470
296	9057	21439
297	9087	21408
298	9117	21375
299	9148	21346
300	9179	21316
301	9210	21287
302	9240	21256
303	9269	21223
304	9300	21193
305	9329	21159
306	9359	21128
307	9389	21096
308	9417	21059
309	9448	21029
310	9479	21000
311	9507	20965
312	9539	20937
313	9569	20906
314	9600	20876
315	9628	20842
316	9659	20812
317	9688	20779
318	9718	20747
319	9747	20712
320	9777	20681
321	9809	20654
322	9839	20623
323	9870	20593
324	9899	20560
325	9930	20530
326	9959	20498
327	9987	20461
328	10015	20427
329	10044	20393
330	10078	20370
331	10111	20344
332	10145	20321
333	10179	20299
334	10210	20267
335	10239	20235
336	10269	20203
337	10300	20174
338	10330	20142
339	10360	20111
340	10390	20080
341	10422	20052
342	10451	20018
343	10481	19987
344	10511	19956
345	10540	19922
346	10570	19892
347	10601	19861
348	10631	19830
349	10662	19801
350	10692	19770
351	10722	19739
352	10751	19705
353	10779	19670
354	10809	19640
355	10837	19605
356	10867	19572
357	10897	19543
358	10928	19512
359	10958	19482
360	10990	19453
361	11021	19424
362	11050	19391
363	11078	19356
364	11107	19324
365	11139	19296
366	11169	19264
367	11200	19235
368	11227	19199
369	11256	19166
370	11285	19132
371	11311	19095
372	11340	19062
373	11373	19036
374	11406	19010
375	11440	18986
376	11474	18961
377	11508	18936
378	11538	18905
379	11567	18872
380	11596	18839
381	11626	18809
382	11656	18777
383	11686	18746
384	11715	18714
385	11746	18684
386	11775	18652
387	11805	18620
388	11833	18586
389	11862	18554
390	11893	18524
391	11923	18493
392	11951	18459
393	11982	18429
394	12009	18394
395	12039	18363
396	12070	18334
397	12101	18303
398	12130	18271
399	12161	18242
400	12192	18213
401	12222	18181
